,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
22259,3.84737953,0.00678088,0.00678088,0.00936213,0.36997145,0.24518043,0.00674753,0.00674753,0.00930242,0.35939941,0.24357581
22359,3.84741965,0.00674761,0.00674761,0.00931683,0.36670540,0.24400696,0.00671437,0.00671437,0.00925723,0.35622934,0.24240375
22459,3.84732802,0.00671480,0.00671480,0.00927162,0.36349620,0.24284495,0.00668180,0.00668180,0.00921232,0.35311519,0.24124746
22559,3.84795075,0.00668272,0.00668272,0.00922702,0.36034558,0.24170999,0.00664989,0.00664989,0.00916797,0.35005764,0.24011612
22659,3.84817058,0.00665100,0.00665100,0.00918353,0.35725200,0.24059037,0.00661830,0.00661830,0.00912460,0.34705425,0.23899841
22759,3.84773231,0.00661991,0.00661991,0.00914073,0.35421297,0.23948339,0.00658738,0.00658738,0.00908208,0.34410463,0.23789770
22859,3.84758775,0.00658904,0.00658904,0.00909841,0.35122776,0.23838654,0.00655672,0.00655672,0.00904012,0.34120868,0.23680932
22959,3.84759732,0.00655888,0.00655888,0.00905692,0.34829503,0.23731691,0.00652655,0.00652655,0.00899852,0.33836046,0.23573517
23059,3.84771653,0.00652939,0.00652939,0.00901624,0.34540987,0.23625855,0.00649734,0.00649734,0.00895834,0.33556242,0.23469059
23159,3.84789599,0.00650042,0.00650042,0.00897657,0.34257805,0.23523650,0.00646858,0.00646858,0.00891904,0.33281518,0.23367840
23259,3.84779911,0.00647163,0.00647163,0.00893705,0.33979132,0.23420394,0.00644006,0.00644006,0.00887995,0.33011228,0.23265760
23317,3.84778524,0.00645511,0.00645511,0.00891420,0.33819524,0.23361125,0.00642356,0.00642356,0.00885720,0.32856285,0.23206648
